,geoname,geocode,quantidade,habilidades
25,São Paulo,BR-SP,76,Extração de Dados
26,Tocantins,BR-TO,0,Extração de Dados
0,Acre,BR-AC,0,Machine Learning
1,Alagoas,BR-AL,47,Machine Learning
2,Amapá,BR-AP,0,Machine Learning
3,Amazonas,BR-AM,56,Machine Learning
4,Bahia,BR-BA,30,Machine Learning
5,Ceará,BR-CE,50,Machine Learning
6,Distrito Federal,BR-DF,100,Machine Learning
7,Espírito Santo,BR-ES,45,Machine Learning
8,Goiás,BR-GO,35,Machine Learning
9,Maranhão,BR-MA,33,Machine Learning
10,Mato Grosso,BR-MT,33,Machine Learning
11,Mato Grosso do Sul,BR-MS,41,Machine Learning
12,Minas Gerais,BR-MG,49,Machine Learning
13,Paraná,BR-PR,62,Machine Learning
14,Paraíba,BR-PB,62,Machine Learning
15,Pará,BR-PA,35,Machine Learning
16,Pernambuco,BR-PE,65,Machine Learning
17,Piauí,BR-PI,41,Machine Learning
18,Rio Grande do Norte,BR-RN,47,Machine Learning
19,Rio Grande do Sul,BR-RS,53,Machine Learning
20,Rio de Janeiro,BR-RJ,54,Machine Learning
21,Rondônia,BR-RO,14,Machine Learning
22,Roraima,BR-RR,0,Machine Learning
23,Santa Catarina,BR-SC,61,Machine Learning
24,Sergipe,BR-SE,43,Machine Learning
25,São Paulo,BR-SP,70,Machine Learning
26,Tocantins,BR-TO,0,Machine Learning
0,Acre,BR-AC,82,Indicadores
1,Alagoas,BR-AL,59,Indicadores
2,Amapá,BR-AP,74,Indicadores
3,Amazonas,BR-AM,78,Indicadores
4,Bahia,BR-BA,56,Indicadores
5,Ceará,BR-CE,62,Indicadores
6,Distrito Federal,BR-DF,68,Indicadores
7,Espírito Santo,BR-ES,58,Indicadores
8,Goiás,BR-GO,56,Indicadores
9,Maranhão,BR-MA,70,Indicadores
10,Mato Grosso,BR-MT,74,Indicadores
11,Mato Grosso do Sul,BR-MS,57,Indicadores
12,Minas Gerais,BR-MG,58,Indicadores
13,Paraná,BR-PR,52,Indicadores
14,Paraíba,BR-PB,63,Indicadores
15,Pará,BR-PA,71,Indicadores
16,Pernambuco,BR-PE,60,Indicadores
17,Piauí,BR-PI,70,Indicadores
18,Rio Grande do Norte,BR-RN,63,Indicadores
19,Rio Grande do Sul,BR-RS,51,Indicadores
20,Rio de Janeiro,BR-RJ,44,Indicadores
21,Rondônia,BR-RO,72,Indicadores
22,Roraima,BR-RR,100,Indicadores
23,Santa Catarina,BR-SC,55,Indicadores
24,Sergipe,BR-SE,59,Indicadores
25,São Paulo,BR-SP,57,Indicadores
26,Tocantins,BR-TO,76,Indicadores
0,Acre,BR-AC,0,Dashboards
1,Alagoas,BR-AL,0,Dashboards
2,Amapá,BR-AP,0,Dashboards
3,Amazonas,BR-AM,0,Dashboards
4,Bahia,BR-BA,33,Dashboards
5,Ceará,BR-CE,53,Dashboards
6,Distrito Federal,BR-DF,100,Dashboards
7,Espírito Santo,BR-ES,0,Dashboards
8,Goiás,BR-GO,47,Dashboards
9,Maranhão,BR-MA,0,Dashboards
10,Mato Grosso,BR-MT,0,Dashboards
11,Mato Grosso do Sul,BR-MS,0,Dashboards
12,Minas Gerais,BR-MG,55,Dashboards
13,Paraná,BR-PR,59,Dashboards
14,Paraíba,BR-PB,0,Dashboards
15,Pará,BR-PA,0,Dashboards
16,Pernambuco,BR-PE,50,Dashboards
17,Piauí,BR-PI,0,Dashboards
18,Rio Grande do Norte,BR-RN,0,Dashboards
19,Rio Grande do Sul,BR-RS,57,Dashboards
20,Rio de Janeiro,BR-RJ,61,Dashboards
21,Rondônia,BR-RO,0,Dashboards
22,Roraima,BR-RR,0,Dashboards
23,Santa Catarina,BR-SC,62,Dashboards
24,Sergipe,BR-SE,0,Dashboards
25,São Paulo,BR-SP,85,Dashboards
26,Tocantins,BR-TO,0,Dashboards
0,Acre,BR-AC,47,Logística
1,Alagoas,BR-AL,75,Logística
2,Amapá,BR-AP,64,Logística
3,Amazonas,BR-AM,100,Logística
4,Bahia,BR-BA,72,Logística
5,Ceará,BR-CE,58,Logística
6,Distrito Federal,BR-DF,49,Logística
7,Espírito Santo,BR-ES,95,Logística
8,Goiás,BR-GO,62,Logística
9,Maranhão,BR-MA,67,Logística
10,Mato Grosso,BR-MT,72,Logística
11,Mato Grosso do Sul,BR-MS,50,Logística
12,Minas Gerais,BR-MG,79,Logística
13,Paraná,BR-PR,64,Logística
14,Paraíba,BR-PB,44,Logística
15,Pará,BR-PA,75,Logística
16,Pernambuco,BR-PE,73,Logística
17,Piauí,BR-PI,49,Logística
18,Rio Grande do Norte,BR-RN,45,Logística
19,Rio Grande do Sul,BR-RS,57,Logística
20,Rio de Janeiro,BR-RJ,72,Logística
21,Rondônia,BR-RO,44,Logística
22,Roraima,BR-RR,47,Logística
23,Santa Catarina,BR-SC,67,Logística
24,Sergipe,BR-SE,49,Logística
25,São Paulo,BR-SP,91,Logística
26,Tocantins,BR-TO,61,Logística
0,Acre,BR-AC,73,Marketing
1,Alagoas,BR-AL,59,Marketing
2,Amapá,BR-AP,68,Marketing
3,Amazonas,BR-AM,67,Marketing
4,Bahia,BR-BA,70,Marketing
5,Ceará,BR-CE,75,Marketing
6,Distrito Federal,BR-DF,82,Marketing
7,Espírito Santo,BR-ES,64,Marketing
8,Goiás,BR-GO,75,Marketing
9,Maranhão,BR-MA,63,Marketing
10,Mato Grosso,BR-MT,65,Marketing
11,Mato Grosso do Sul,BR-MS,58,Marketing
12,Minas Gerais,BR-MG,80,Marketing
13,Paraná,BR-PR,88,Marketing
14,Paraíba,BR-PB,62,Marketing
15,Pará,BR-PA,66,Marketing
16,Pernambuco,BR-PE,73,Marketing
17,Piauí,BR-PI,66,Marketing
18,Rio Grande do Norte,BR-RN,55,Marketing
19,Rio Grande do Sul,BR-RS,85,Marketing
20,Rio de Janeiro,BR-RJ,79,Marketing
21,Rondônia,BR-RO,77,Marketing
22,Roraima,BR-RR,72,Marketing
23,Santa Catarina,BR-SC,94,Marketing
24,Sergipe,BR-SE,63,Marketing
25,São Paulo,BR-SP,100,Marketing
26,Tocantins,BR-TO,61,Marketing
0,Acre,BR-AC,81,Implementação
1,Alagoas,BR-AL,56,Implementação
2,Amapá,BR-AP,100,Implementação
3,Amazonas,BR-AM,69,Implementação
4,Bahia,BR-BA,55,Implementação
5,Ceará,BR-CE,56,Implementação
6,Distrito Federal,BR-DF,77,Implementação
7,Espírito Santo,BR-ES,53,Implementação
8,Goiás,BR-GO,58,Implementação
9,Maranhão,BR-MA,68,Implementação
10,Mato Grosso,BR-MT,60,Implementação
11,Mato Grosso do Sul,BR-MS,53,Implementação
12,Minas Gerais,BR-MG,51,Implementação
13,Paraná,BR-PR,55,Implementação
14,Paraíba,BR-PB,59,Implementação
15,Pará,BR-PA,70,Implementação
16,Pernambuco,BR-PE,56,Implementação
17,Piauí,BR-PI,81,Implementação
18,Rio Grande do Norte,BR-RN,50,Implementação
19,Rio Grande do Sul,BR-RS,48,Implementação
20,Rio de Janeiro,BR-RJ,44,Implementação
21,Rondônia,BR-RO,72,Implementação
22,Roraima,BR-RR,87,Implementação
23,Santa Catarina,BR-SC,47,Implementação
24,Sergipe,BR-SE,56,Implementação
25,São Paulo,BR-SP,47,Implementação
26,Tocantins,BR-TO,78,Implementação
0,Acre,BR-AC,0,ETL
1,Alagoas,BR-AL,0,ETL
2,Amapá,BR-AP,0,ETL
3,Amazonas,BR-AM,0,ETL
4,Bahia,BR-BA,21,ETL
5,Ceará,BR-CE,40,ETL
6,Distrito Federal,BR-DF,100,ETL
7,Espírito Santo,BR-ES,39,ETL
8,Goiás,BR-GO,22,ETL
9,Maranhão,BR-MA,0,ETL
10,Mato Grosso,BR-MT,0,ETL
11,Mato Grosso do Sul,BR-MS,0,ETL
12,Minas Gerais,BR-MG,40,ETL
13,Paraná,BR-PR,48,ETL
14,Paraíba,BR-PB,9,ETL
15,Pará,BR-PA,0,ETL
16,Pernambuco,BR-PE,36,ETL
17,Piauí,BR-PI,0,ETL
18,Rio Grande do Norte,BR-RN,0,ETL
19,Rio Grande do Sul,BR-RS,31,ETL
20,Rio de Janeiro,BR-RJ,39,ETL
21,Rondônia,BR-RO,0,ETL
22,Roraima,BR-RR,0,ETL
23,Santa Catarina,BR-SC,48,ETL
24,Sergipe,BR-SE,0,ETL
25,São Paulo,BR-SP,76,ETL
26,Tocantins,BR-TO,0,ETL
0,Acre,BR-AC,93,Visão
1,Alagoas,BR-AL,74,Visão
2,Amapá,BR-AP,98,Visão
3,Amazonas,BR-AM,76,Visão
4,Bahia,BR-BA,74,Visão
5,Ceará,BR-CE,75,Visão
6,Distrito Federal,BR-DF,80,Visão
7,Espírito Santo,BR-ES,57,Visão
8,Goiás,BR-GO,83,Visão
9,Maranhão,BR-MA,100,Visão
10,Mato Grosso,BR-MT,79,Visão
11,Mato Grosso do Sul,BR-MS,69,Visão
12,Minas Gerais,BR-MG,71,Visão
13,Paraná,BR-PR,68,Visão
14,Paraíba,BR-PB,80,Visão
15,Pará,BR-PA,83,Visão
16,Pernambuco,BR-PE,76,Visão
17,Piauí,BR-PI,83,Visão
18,Rio Grande do Norte,BR-RN,86,Visão
19,Rio Grande do Sul,BR-RS,64,Visão
20,Rio de Janeiro,BR-RJ,60,Visão
21,Rondônia,BR-RO,83,Visão
22,Roraima,BR-RR,83,Visão
23,Santa Catarina,BR-SC,67,Visão
24,Sergipe,BR-SE,64,Visão
25,São Paulo,BR-SP,61,Visão
26,Tocantins,BR-TO,91,Visão
0,Acre,BR-AC,50,Inteligência Artificial
1,Alagoas,BR-AL,60,Inteligência Artificial
2,Amapá,BR-AP,100,Inteligência Artificial
3,Amazonas,BR-AM,80,Inteligência Artificial
4,Bahia,BR-BA,67,Inteligência Artificial
5,Ceará,BR-CE,63,Inteligência Artificial
6,Distrito Federal,BR-DF,81,Inteligência Artificial
7,Espírito Santo,BR-ES,61,Inteligência Artificial
8,Goiás,BR-GO,70,Inteligência Artificial
9,Maranhão,BR-MA,70,Inteligência Artificial
10,Mato Grosso,BR-MT,57,Inteligência Artificial
11,Mato Grosso do Sul,BR-MS,81,Inteligência Artificial
12,Minas Gerais,BR-MG,69,Inteligência Artificial
13,Paraná,BR-PR,66,Inteligência Artificial
14,Paraíba,BR-PB,88,Inteligência Artificial
15,Pará,BR-PA,76,Inteligência Artificial
16,Pernambuco,BR-PE,74,Inteligência Artificial
17,Piauí,BR-PI,72,Inteligência Artificial
18,Rio Grande do Norte,BR-RN,66,Inteligência Artificial
19,Rio Grande do Sul,BR-RS,69,Inteligência Artificial
20,Rio de Janeiro,BR-RJ,63,Inteligência Artificial
21,Rondônia,BR-RO,62,Inteligência Artificial
22,Roraima,BR-RR,53,Inteligência Artificial
23,Santa Catarina,BR-SC,74,Inteligência Artificial
24,Sergipe,BR-SE,67,Inteligência Artificial
