,date,quantidade,isPartial,habilidades
1,2021-12-19,98,False,Foco
2,2021-12-26,83,False,Foco
3,2022-01-02,85,False,Foco
4,2022-01-09,81,False,Foco
5,2022-01-16,76,False,Foco
6,2022-01-23,73,False,Foco
7,2022-01-30,79,False,Foco
8,2022-02-06,81,False,Foco
9,2022-02-13,85,False,Foco
10,2022-02-20,83,False,Foco
11,2022-02-27,79,False,Foco
12,2022-03-06,93,False,Foco
13,2022-03-13,86,False,Foco
14,2022-03-20,86,False,Foco
15,2022-03-27,89,False,Foco
16,2022-04-03,89,False,Foco
17,2022-04-10,87,False,Foco
18,2022-04-17,79,False,Foco
19,2022-04-24,85,False,Foco
20,2022-05-01,94,False,Foco
21,2022-05-08,83,False,Foco
22,2022-05-15,89,False,Foco
23,2022-05-22,87,False,Foco
24,2022-05-29,100,False,Foco
25,2022-06-05,88,False,Foco
26,2022-06-12,85,False,Foco
27,2022-06-19,83,False,Foco
28,2022-06-26,83,False,Foco
29,2022-07-03,83,False,Foco
30,2022-07-10,82,False,Foco
31,2022-07-17,78,False,Foco
32,2022-07-24,83,False,Foco
33,2022-07-31,80,False,Foco
34,2022-08-07,78,False,Foco
35,2022-08-14,79,False,Foco
36,2022-08-21,83,False,Foco
37,2022-08-28,86,False,Foco
38,2022-09-04,77,False,Foco
39,2022-09-11,82,False,Foco
40,2022-09-18,89,False,Foco
41,2022-09-25,86,False,Foco
42,2022-10-02,68,False,Foco
43,2022-10-09,75,False,Foco
44,2022-10-16,79,False,Foco
45,2022-10-23,85,False,Foco
46,2022-10-30,73,False,Foco
47,2022-11-06,85,False,Foco
48,2022-11-13,84,False,Foco
49,2022-11-20,81,False,Foco
50,2022-11-27,80,False,Foco
0,2021-12-12,41,False,Estatística
1,2021-12-19,30,False,Estatística
2,2021-12-26,31,False,Estatística
3,2022-01-02,37,False,Estatística
4,2022-01-09,47,False,Estatística
5,2022-01-16,33,False,Estatística
6,2022-01-23,39,False,Estatística
7,2022-01-30,51,False,Estatística
8,2022-02-06,58,False,Estatística
9,2022-02-13,82,False,Estatística
10,2022-02-20,66,False,Estatística
