,date,quantidade,isPartial,ferramenta
27,2022-06-19,84,False,Python
28,2022-06-26,89,False,Python
29,2022-07-03,86,False,Python
30,2022-07-10,90,False,Python
31,2022-07-17,86,False,Python
32,2022-07-24,99,False,Python
33,2022-07-31,83,False,Python
34,2022-08-07,89,False,Python
35,2022-08-14,90,False,Python
36,2022-08-21,90,False,Python
37,2022-08-28,94,False,Python
38,2022-09-04,83,False,Python
39,2022-09-11,93,False,Python
40,2022-09-18,94,False,Python
41,2022-09-25,98,False,Python
42,2022-10-02,77,False,Python
43,2022-10-09,82,False,Python
44,2022-10-16,80,False,Python
45,2022-10-23,93,False,Python
46,2022-10-30,81,False,Python
47,2022-11-06,83,False,Python
48,2022-11-13,90,False,Python
49,2022-11-20,78,False,Python
50,2022-11-27,79,False,Python
0,2021-12-12,45,False,Cloud
1,2021-12-19,40,False,Cloud
2,2021-12-26,38,False,Cloud
3,2022-01-02,47,False,Cloud
4,2022-01-09,52,False,Cloud
5,2022-01-16,53,False,Cloud
6,2022-01-23,50,False,Cloud
7,2022-01-30,54,False,Cloud
8,2022-02-06,54,False,Cloud
9,2022-02-13,57,False,Cloud
10,2022-02-20,53,False,Cloud
11,2022-02-27,54,False,Cloud
12,2022-03-06,52,False,Cloud
13,2022-03-13,53,False,Cloud
14,2022-03-20,61,False,Cloud
15,2022-03-27,54,False,Cloud
16,2022-04-03,52,False,Cloud
17,2022-04-10,51,False,Cloud
18,2022-04-17,56,False,Cloud
19,2022-04-24,53,False,Cloud
20,2022-05-01,71,False,Cloud
21,2022-05-08,85,False,Cloud
22,2022-05-15,70,False,Cloud
23,2022-05-22,70,False,Cloud
24,2022-05-29,65,False,Cloud
25,2022-06-05,100,False,Cloud
26,2022-06-12,89,False,Cloud
27,2022-06-19,80,False,Cloud
28,2022-06-26,80,False,Cloud
29,2022-07-03,79,False,Cloud
30,2022-07-10,77,False,Cloud
31,2022-07-17,84,False,Cloud
32,2022-07-24,73,False,Cloud
33,2022-07-31,74,False,Cloud
34,2022-08-07,68,False,Cloud
35,2022-08-14,78,False,Cloud
36,2022-08-21,74,False,Cloud
37,2022-08-28,75,False,Cloud
38,2022-09-04,72,False,Cloud
39,2022-09-11,69,False,Cloud
40,2022-09-18,86,False,Cloud
41,2022-09-25,67,False,Cloud
42,2022-10-02,65,False,Cloud
43,2022-10-09,75,False,Cloud
44,2022-10-16,69,False,Cloud
45,2022-10-23,66,False,Cloud
46,2022-10-30,64,False,Cloud
47,2022-11-06,70,False,Cloud
48,2022-11-13,72,False,Cloud
49,2022-11-20,65,False,Cloud
50,2022-11-27,64,False,Cloud
0,2021-12-12,76,False,CRM
1,2021-12-19,62,False,CRM
2,2021-12-26,58,False,CRM
3,2022-01-02,83,False,CRM
4,2022-01-09,90,False,CRM
5,2022-01-16,86,False,CRM
6,2022-01-23,84,False,CRM
7,2022-01-30,86,False,CRM
8,2022-02-06,82,False,CRM
9,2022-02-13,82,False,CRM
10,2022-02-20,79,False,CRM
11,2022-02-27,64,False,CRM
12,2022-03-06,77,False,CRM
13,2022-03-13,81,False,CRM
14,2022-03-20,81,False,CRM
15,2022-03-27,77,False,CRM
16,2022-04-03,81,False,CRM
17,2022-04-10,69,False,CRM
18,2022-04-17,71,False,CRM
19,2022-04-24,79,False,CRM
20,2022-05-01,81,False,CRM
21,2022-05-08,84,False,CRM
22,2022-05-15,80,False,CRM
23,2022-05-22,84,False,CRM
24,2022-05-29,84,False,CRM
25,2022-06-05,83,False,CRM
26,2022-06-12,71,False,CRM
27,2022-06-19,79,False,CRM
28,2022-06-26,83,False,CRM
29,2022-07-03,82,False,CRM
30,2022-07-10,82,False,CRM
31,2022-07-17,81,False,CRM
32,2022-07-24,83,False,CRM
33,2022-07-31,74,False,CRM
34,2022-08-07,100,False,CRM
35,2022-08-14,83,False,CRM
36,2022-08-21,78,False,CRM
37,2022-08-28,79,False,CRM
38,2022-09-04,65,False,CRM
39,2022-09-11,73,False,CRM
40,2022-09-18,74,False,CRM
41,2022-09-25,72,False,CRM
42,2022-10-02,65,False,CRM
43,2022-10-09,69,False,CRM
44,2022-10-16,76,False,CRM
45,2022-10-23,76,False,CRM
46,2022-10-30,64,False,CRM
47,2022-11-06,71,False,CRM
48,2022-11-13,72,False,CRM
49,2022-11-20,76,False,CRM
50,2022-11-27,69,False,CRM
0,2021-12-12,77,False,Protheus
1,2021-12-19,66,False,Protheus
2,2021-12-26,60,False,Protheus
3,2022-01-02,76,False,Protheus
4,2022-01-09,85,False,Protheus
5,2022-01-16,79,False,Protheus
6,2022-01-23,82,False,Protheus
7,2022-01-30,94,False,Protheus
8,2022-02-06,85,False,Protheus
9,2022-02-13,88,False,Protheus
10,2022-02-20,83,False,Protheus
11,2022-02-27,69,False,Protheus
12,2022-03-06,80,False,Protheus
13,2022-03-13,80,False,Protheus
14,2022-03-20,78,False,Protheus
15,2022-03-27,92,False,Protheus
16,2022-04-03,94,False,Protheus
17,2022-04-10,70,False,Protheus
18,2022-04-17,64,False,Protheus
19,2022-04-24,88,False,Protheus
