,Unnamed: 0,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type,ferramenta
15,15,2,2,True,/trends/explore?q=/m/027q8xw&date=today+12-m&geo=BR,/m/027q8xw,VirtualBox,Software,Oracle
16,16,2,2,True,/trends/explore?q=/m/03ts00&date=today+12-m&geo=BR,/m/03ts00,Oracle Application Express,Software,Oracle
17,17,2,2,True,/trends/explore?q=/m/040t7h&date=today+12-m&geo=BR,/m/040t7h,Column,Assunto,Oracle
18,18,2,2,True,/trends/explore?q=/m/0609p&date=today+12-m&geo=BR,/m/0609p,PL/SQL,Linguagem de programação,Oracle
19,19,2,2,True,/trends/explore?q=/m/04r_8&date=today+12-m&geo=BR,/m/04r_8,Microsoft Windows,Software,Oracle
20,20,2,2,True,/trends/explore?q=/m/03190p&date=today+12-m&geo=BR,/m/03190p,Cliente,Computação,Oracle
21,21,2,2,True,/trends/explore?q=/m/06x16&date=today+12-m&geo=BR,/m/06x16,Cadeia de caracteres,Assunto,Oracle
22,22,1,1,True,/trends/explore?q=/m/05njj&date=today+12-m&geo=BR,/m/05njj,Oráculo,Assunto,Oracle
23,23,1,1,True,/trends/explore?q=/m/02y_sk&date=today+12-m&geo=BR,/m/02y_sk,Instalação,Computação,Oracle
24,24,1,1,True,/trends/explore?q=/m/0b750&date=today+12-m&geo=BR,/m/0b750,Sub-rotina,Assunto,Oracle
0,0,100,100,True,/trends/explore?q=/m/0212jm&date=today+12-m&geo=BR,/m/0212jm,R,Linguagem de programação,R
1,1,60,60,True,/trends/explore?q=/m/03385m&date=today+12-m&geo=BR,/m/03385m,Real brasileiro,Moeda brasileira,R
2,2,55,55,True,/trends/explore?q=/m/09ttms&date=today+12-m&geo=BR,/m/09ttms,Letra,Assunto,R
3,3,31,31,True,/trends/explore?q=/m/0195mc&date=today+12-m&geo=BR,/m/0195mc,Å,Assunto,R
4,4,11,11,True,/trends/explore?q=/m/03scnj&date=today+12-m&geo=BR,/m/03scnj,Reta,Assunto,R
5,5,9,9,True,/trends/explore?q=/m/02y_gnz&date=today+12-m&geo=BR,/m/02y_gnz,Honda Civic Type R,Carro esportivo,R
6,6,8,8,True,/trends/explore?q=/m/01_pxf&date=today+12-m&geo=BR,/m/01_pxf,Honda Civic,Automóvel desportivo,R
7,7,4,4,True,/trends/explore?q=/m/0j3yh6q&date=today+12-m&geo=BR,/m/0j3yh6q,RStudio,Software,R
8,8,4,4,True,/trends/explore?q=/g/11c532ltm9&date=today+12-m&geo=BR,/g/11c532ltm9,Honda Civic,Assunto,R
9,9,3,3,True,/trends/explore?q=/g/11c38kgbcx&date=today+12-m&geo=BR,/g/11c38kgbcx,RStudio,Desenvolvedor do software,R
10,10,3,3,True,/trends/explore?q=/m/036y5&date=today+12-m&geo=BR,/m/036y5,G,Assunto,R
11,11,3,3,True,/trends/explore?q=/m/06d5y&date=today+12-m&geo=BR,/m/06d5y,R,Assunto,R
12,12,3,3,True,/trends/explore?q=/g/11fl71dywr&date=today+12-m&geo=BR,/g/11fl71dywr,Canon EOS R Series,Câmera digital,R
13,13,3,3,True,/trends/explore?q=/m/010fpy0y&date=today+12-m&geo=BR,/m/010fpy0y,Canon,Assunto,R
14,14,2,2,True,/trends/explore?q=/m/02xss&date=today+12-m&geo=BR,/m/02xss,F,Assunto,R
15,15,2,2,True,/trends/explore?q=/m/02lgn2&date=today+12-m&geo=BR,/m/02lgn2,Vibrante múltipla alveolar,Assunto,R
16,16,2,2,True,/trends/explore?q=/g/11fctqkwx6&date=today+12-m&geo=BR,/g/11fctqkwx6,Canon EOS R,Câmera reflex monobjetiva digital,R
17,17,2,2,True,/trends/explore?q=/m/088yy&date=today+12-m&geo=BR,/m/088yy,Z,Assunto,R
18,18,2,2,True,/trends/explore?q=/m/040t7h&date=today+12-m&geo=BR,/m/040t7h,Column,Assunto,R
19,19,2,2,True,/trends/explore?q=/g/122k5n9v&date=today+12-m&geo=BR,/g/122k5n9v,Elogio,Oração,R
0,0,100,100,True,/trends/explore?q=/m/04y7lrx&date=today+12-m&geo=BR,/m/04y7lrx,Microsoft Azure,Software,Azure
