,id,titulo,empresa,nivel_da_vaga,link
74,v2454402,Analista de Compliance Sr,State Grid Brazil Holding,Sênior,https://www.vagas.com.br/vagas/v2454402/analista-de-compliance-sr
75,v2461540,Analista de CRM,Inova Máquinas,Pleno,https://www.vagas.com.br/vagas/v2461540/analista-de-crm
76,v2462028,Analista de Abastacimento Sênior,FORNECEDORA CHATUBA DE NILÓPOLIS S/A,Sênior,https://www.vagas.com.br/vagas/v2462028/analista-de-abastacimento-senior
77,v2458123,Analista de Meio Ambiente (6126),Lyon Engenharia,Júnior/Trainee,https://www.vagas.com.br/vagas/v2458123/analista-de-meio-ambiente-6126
78,v2462341,Analista de Contratos,Confidencial,Pleno,https://www.vagas.com.br/vagas/v2462341/analista-de-contratos
79,v2459384,Analista de TI,CIS Group,Técnico,https://www.vagas.com.br/vagas/v2459384/analista-de-ti
80,v2460807,Analista de Sistemas Pleno,Icatu Seguros,Pleno,https://www.vagas.com.br/vagas/v2460807/analista-de-sistemas-pleno
81,v2456151,Analista Financeiro,Masutti,Júnior/Trainee,https://www.vagas.com.br/vagas/v2456151/analista-financeiro
82,v2454938,Analista Financeiro Pl (p&l),Confidencial,Pleno,https://www.vagas.com.br/vagas/v2454938/analista-financeiro-pl-p-l
83,v2431055,Analista de TI Sênior,State Grid Brazil Holding,Sênior,https://www.vagas.com.br/vagas/v2431055/analista-de-ti-senior
84,v2454522,Analista de Processos Júnior,Confidencial,Júnior/Trainee,https://www.vagas.com.br/vagas/v2454522/analista-de-processos-junior
85,v2456987,Analista de Contratos,Confidencial,Pleno,https://www.vagas.com.br/vagas/v2456987/analista-de-contratos
86,v2457325,Analista de Sistemas I,HOSPITAL PEQUENO PRÍNCIPE,Júnior/Trainee,https://www.vagas.com.br/vagas/v2457325/analista-de-sistemas-i
87,v2448451,Analista de Planejamento,Confidencial,Pleno,https://www.vagas.com.br/vagas/v2448451/analista-de-planejamento
88,v2456179,Analista Estratégia Sr,BP BUNGE BIOENERGIA,Sênior,https://www.vagas.com.br/vagas/v2456179/analista-estrategia-sr
89,v2457497,Analista de Laboratório Pleno,Expert Consultoria em RH,Pleno,https://www.vagas.com.br/vagas/v2457497/analista-de-laboratorio-pleno
90,v2458114,Analista Engenharia I,Confidencial,Júnior/Trainee,https://www.vagas.com.br/vagas/v2458114/analista-engenharia-i
91,v2460774,Analista de Custos Júnior,LongPing - High-Tech,Júnior/Trainee,https://www.vagas.com.br/vagas/v2460774/analista-de-custos-junior
92,v2461072,Analista de Faturamento,Confidencial,Pleno,https://www.vagas.com.br/vagas/v2461072/analista-de-faturamento
93,v2461811,Analista Controladoria Sr,Biolab Farmacêutica,Sênior,https://www.vagas.com.br/vagas/v2461811/analista-controladoria-sr
94,v2457568,Analista Sistemas III,Confidencial,Sênior,https://www.vagas.com.br/vagas/v2457568/analista-sistemas-iii
95,v2459908,Analista de PCM,The Adecco Group,Pleno,https://www.vagas.com.br/vagas/v2459908/analista-de-pcm
96,v2457053,Analista de Faturamento,Grupo Pardini,Júnior/Trainee,https://www.vagas.com.br/vagas/v2457053/analista-de-faturamento
97,v2455082,Analista de Laboratório I,BP BUNGE BIOENERGIA,Técnico,https://www.vagas.com.br/vagas/v2455082/analista-de-laboratorio-i
98,v2451583,Analista Comercial Sr,Sartori DHO,Sênior,https://www.vagas.com.br/vagas/v2451583/analista-comercial-sr
99,v2453059,Analista de Suporte Sr,Ouro Verde,Sênior,https://www.vagas.com.br/vagas/v2453059/analista-de-suporte-sr
100,v2453493,Analista de Controladoria II,LWART SOLUÇÕES AMBIENTAIS,Pleno,https://www.vagas.com.br/vagas/v2453493/analista-de-controladoria-ii
101,v2450640,Analista de Crédito,Amaggi,Pleno,https://www.vagas.com.br/vagas/v2450640/analista-de-credito
102,v2447848,Analista de Sistemas,Verisure Brasil,Pleno,https://www.vagas.com.br/vagas/v2447848/analista-de-sistemas
103,v2461760,Analista de Exportação,Esrh,Pleno,https://www.vagas.com.br/vagas/v2461760/analista-de-exportacao
104,v2450130,Analista de Sistemas Jr,Polenghi,Júnior/Trainee,https://www.vagas.com.br/vagas/v2450130/analista-de-sistemas-jr
105,v2457720,Analista de Seguros Júnior,Confidencial,Júnior/Trainee,https://www.vagas.com.br/vagas/v2457720/analista-de-seguros-junior
106,v2453123,Analista Contábil Júnior,RINA BRASIL,Júnior/Trainee,https://www.vagas.com.br/vagas/v2453123/analista-contabil-junior
107,v2453256,Analista de Execução Jr.,COFCO International,Júnior/Trainee,https://www.vagas.com.br/vagas/v2453256/analista-de-execucao-jr
108,v2459366,Analista de Processos Pleno,TEKSID DO BRASIL,Pleno,https://www.vagas.com.br/vagas/v2459366/analista-de-processos-pleno
109,v2460474,Analista de Projetos (6411),Lyon Engenharia,Júnior/Trainee,https://www.vagas.com.br/vagas/v2460474/analista-de-projetos-6411
110,v2461606,Analista de Qa Júnior,TOTVS / SUPPLIER,Júnior/Trainee,https://www.vagas.com.br/vagas/v2461606/analista-de-qa-junior
111,v2460383,Analista de Marketing Pl,Polenghi,Pleno,https://www.vagas.com.br/vagas/v2460383/analista-de-marketing-pl
112,v2462538,10156 - Analista de Redes,Talent Group,Pleno,https://www.vagas.com.br/vagas/v2462538/10156-analista-de-redes
113,v2454521,Analista Sr Marketplace,RD,Sênior,https://www.vagas.com.br/vagas/v2454521/analista-sr-marketplace
114,v2441491,Analista de Sistemas Sênior,Icatu Seguros,Sênior,https://www.vagas.com.br/vagas/v2441491/analista-de-sistemas-senior
115,v2457324,Analista de Marketing,Confidencial,Júnior/Trainee,https://www.vagas.com.br/vagas/v2457324/analista-de-marketing
116,v2459356,Analista Microsoft 365,123Milhas,Pleno,https://www.vagas.com.br/vagas/v2459356/analista-microsoft-365
117,v2460155,Analista da Qualidade Pleno,SGS,Pleno,https://www.vagas.com.br/vagas/v2460155/analista-da-qualidade-pleno
118,v2461166,Analista de Projetos,TROPICAL TRANSPORTES IPIRANGA,Pleno,https://www.vagas.com.br/vagas/v2461166/analista-de-projetos
119,v2450116,Analista Contábil Sr,KSPG Automitive,Sênior,https://www.vagas.com.br/vagas/v2450116/analista-contabil-sr
