,geoname,geocode,quantidade,ferramenta
1,Alagoas,BR-AL,30,Azure
2,Amapá,BR-AP,0,Azure
3,Amazonas,BR-AM,26,Azure
4,Bahia,BR-BA,34,Azure
5,Ceará,BR-CE,47,Azure
6,Distrito Federal,BR-DF,97,Azure
7,Espírito Santo,BR-ES,57,Azure
8,Goiás,BR-GO,59,Azure
9,Maranhão,BR-MA,33,Azure
10,Mato Grosso,BR-MT,34,Azure
11,Mato Grosso do Sul,BR-MS,39,Azure
12,Minas Gerais,BR-MG,53,Azure
13,Paraná,BR-PR,54,Azure
14,Paraíba,BR-PB,37,Azure
15,Pará,BR-PA,26,Azure
16,Pernambuco,BR-PE,43,Azure
17,Piauí,BR-PI,28,Azure
18,Rio Grande do Norte,BR-RN,33,Azure
19,Rio Grande do Sul,BR-RS,54,Azure
20,Rio de Janeiro,BR-RJ,63,Azure
21,Rondônia,BR-RO,33,Azure
22,Roraima,BR-RR,12,Azure
23,Santa Catarina,BR-SC,64,Azure
24,Sergipe,BR-SE,48,Azure
25,São Paulo,BR-SP,100,Azure
26,Tocantins,BR-TO,35,Azure
0,Acre,BR-AC,0,Salesforce
1,Alagoas,BR-AL,16,Salesforce
2,Amapá,BR-AP,0,Salesforce
3,Amazonas,BR-AM,19,Salesforce
4,Bahia,BR-BA,19,Salesforce
5,Ceará,BR-CE,44,Salesforce
6,Distrito Federal,BR-DF,53,Salesforce
7,Espírito Santo,BR-ES,24,Salesforce
8,Goiás,BR-GO,22,Salesforce
9,Maranhão,BR-MA,19,Salesforce
10,Mato Grosso,BR-MT,25,Salesforce
11,Mato Grosso do Sul,BR-MS,16,Salesforce
12,Minas Gerais,BR-MG,37,Salesforce
13,Paraná,BR-PR,50,Salesforce
14,Paraíba,BR-PB,29,Salesforce
15,Pará,BR-PA,14,Salesforce
16,Pernambuco,BR-PE,45,Salesforce
17,Piauí,BR-PI,14,Salesforce
18,Rio Grande do Norte,BR-RN,15,Salesforce
19,Rio Grande do Sul,BR-RS,34,Salesforce
20,Rio de Janeiro,BR-RJ,41,Salesforce
