,date,quantidade,isPartial,ferramenta
43,2022-10-09,62,False,Pacote Office
44,2022-10-16,58,False,Pacote Office
45,2022-10-23,65,False,Pacote Office
46,2022-10-30,52,False,Pacote Office
47,2022-11-06,63,False,Pacote Office
48,2022-11-13,61,False,Pacote Office
49,2022-11-20,69,False,Pacote Office
50,2022-11-27,63,False,Pacote Office
0,2021-12-12,63,False,SQL
1,2021-12-19,46,False,SQL
2,2021-12-26,48,False,SQL
3,2022-01-02,60,False,SQL
4,2022-01-09,83,False,SQL
5,2022-01-16,75,False,SQL
6,2022-01-23,79,False,SQL
7,2022-01-30,85,False,SQL
8,2022-02-06,88,False,SQL
9,2022-02-13,94,False,SQL
10,2022-02-20,89,False,SQL
11,2022-02-27,69,False,SQL
12,2022-03-06,83,False,SQL
13,2022-03-13,91,False,SQL
14,2022-03-20,92,False,SQL
15,2022-03-27,100,False,SQL
16,2022-04-03,98,False,SQL
17,2022-04-10,86,False,SQL
18,2022-04-17,83,False,SQL
19,2022-04-24,100,False,SQL
20,2022-05-01,99,False,SQL
21,2022-05-08,100,False,SQL
22,2022-05-15,92,False,SQL
23,2022-05-22,95,False,SQL
24,2022-05-29,95,False,SQL
25,2022-06-05,95,False,SQL
26,2022-06-12,79,False,SQL
27,2022-06-19,93,False,SQL
28,2022-06-26,94,False,SQL
29,2022-07-03,93,False,SQL
30,2022-07-10,94,False,SQL
31,2022-07-17,93,False,SQL
32,2022-07-24,92,False,SQL
33,2022-07-31,91,False,SQL
34,2022-08-07,95,False,SQL
35,2022-08-14,94,False,SQL
36,2022-08-21,94,False,SQL
37,2022-08-28,95,False,SQL
38,2022-09-04,76,False,SQL
39,2022-09-11,97,False,SQL
40,2022-09-18,99,False,SQL
41,2022-09-25,92,False,SQL
42,2022-10-02,80,False,SQL
43,2022-10-09,78,False,SQL
44,2022-10-16,92,False,SQL
45,2022-10-23,91,False,SQL
46,2022-10-30,76,False,SQL
47,2022-11-06,91,False,SQL
48,2022-11-13,88,False,SQL
49,2022-11-20,87,False,SQL
50,2022-11-27,88,False,SQL
0,2021-12-12,77,False,SAP
1,2021-12-19,67,False,SAP
2,2021-12-26,64,False,SAP
3,2022-01-02,71,False,SAP
4,2022-01-09,79,False,SAP
5,2022-01-16,72,False,SAP
6,2022-01-23,74,False,SAP
7,2022-01-30,84,False,SAP
8,2022-02-06,74,False,SAP
9,2022-02-13,86,False,SAP
10,2022-02-20,76,False,SAP
11,2022-02-27,66,False,SAP
12,2022-03-06,73,False,SAP
13,2022-03-13,76,False,SAP
14,2022-03-20,82,False,SAP
15,2022-03-27,79,False,SAP
16,2022-04-03,77,False,SAP
17,2022-04-10,72,False,SAP
18,2022-04-17,68,False,SAP
19,2022-04-24,81,False,SAP
20,2022-05-01,82,False,SAP
21,2022-05-08,82,False,SAP
22,2022-05-15,74,False,SAP
23,2022-05-22,84,False,SAP
24,2022-05-29,80,False,SAP
25,2022-06-05,79,False,SAP
26,2022-06-12,78,False,SAP
27,2022-06-19,77,False,SAP
28,2022-06-26,81,False,SAP
29,2022-07-03,77,False,SAP
30,2022-07-10,78,False,SAP
31,2022-07-17,83,False,SAP
32,2022-07-24,80,False,SAP
33,2022-07-31,75,False,SAP
34,2022-08-07,77,False,SAP
35,2022-08-14,77,False,SAP
36,2022-08-21,100,False,SAP
37,2022-08-28,85,False,SAP
38,2022-09-04,77,False,SAP
39,2022-09-11,73,False,SAP
40,2022-09-18,80,False,SAP
41,2022-09-25,79,False,SAP
